Minifig Number,Rebrickable ID,Theme,Name,Set Number
sw0833,fig-004267,Star Wars,Aayla Secura,75182
sw0977,fig-004345,Star Wars,Boba Fett,75060
sw0472,fig-004023,Star Wars,Count Dooku,75071
sw0407,fig-003934,Star Wars,Boushh,9516
sw0003,fig-003516,Star Wars,Darth Maul (Waist Sash),7101
sw0686,fig-002053,Star Wars,Darth Maul (Waist Sash),
sw0515,fig-004027,Star Wars,General Grievous,75199
sw0845,fig-004289,Star Wars,Jango Fett,75191
sw0301,fig-003793,Star Wars,Jar Jar Binks,9499
sw0889,fig-004162,Star Wars,Mace Windu (Dark Tan Legs),75199
sw0406,fig-003930,Star Wars,Oola,9516
sw0485,fig-004010,Star Wars,Princess Leia - Slave Outfit,75020
sw0387,fig-003877,Star Wars,Queen Amidala,9499
sw0326,fig-003769,Star Wars,Sebulba - Movable Arms,9675
sw0402,fig-003929,Star Wars,Big Figure - Jabba The Hutt - Tan Face,75020
sw1096,fig-010294,Star Wars,Ahsoka Tano (Adult) - Dark Blue Jumpsuit,75310
sw0410,fig-003879,Star Wars,Qui-Gon Jinn with Breathing Apparatus,9499
sw0649,fig-004134,Star Wars,Watto,75096
sw0911,fig-004505,Star Wars,Ki-Adi-Mundi,75206
sw0909,fig-004506,Star Wars,Barriss Offee,75206
sw0371,fig-003889,Star Wars,Princess Leia - Celebration Outfit,9495
sw0363,fig-003891,Star Wars,Nute Gunray,9494
sw0309,fig-003786,Star Wars,Shaak Ti,7931
sw0488,fig-004003,Star Wars,Anakin Skywalker,75021
sw0615,fig-004112,Star Wars,Asajj Ventress,75087
sw0639,fig-004102,Star Wars,Captain Tarpals,75091
sw0745,fig-004227,Star Wars,Luminara Unduli,75151
sw0650,fig-004137,Star Wars,Dath Maul - Printed Legs,75096
sw0844,fig-004288,Star Wars,"Boba Fett, Young",75191
