,Minifig Number,Rebrickable ID,Theme,Name,Set Number,Minifig Value
0,sw0833,fig-004267,Star Wars,Aayla Secura,75182,36.67
1,sw0977,fig-004345,Star Wars,Boba Fett,75060,123.85
2,sw0472,fig-004023,Star Wars,Count Dooku,75017,72.0
3,sw0407,fig-003934,Star Wars,Boushh,9516,89.11
4,sw0003,fig-003516,Star Wars,Darth Maul (Waist Sash),7101,18.99
5,sw0845,fig-004289,Star Wars,Jango Fett,75191,189.67
6,sw0301,fig-003793,Star Wars,Jar Jar Binks,9499,7.67
7,sw0406,fig-003930,Star Wars,Oola,9516,54.78
8,sw0387,fig-003877,Star Wars,Queen Amidala,9499,140.56
9,sw0326,fig-003769,Star Wars,Sebulba - Movable Arms,9675,7.68
10,sw0402,fig-003929,Star Wars,Big Figure - Jabba The Hutt - Tan Face,75020,74.52
11,sw0651,fig-004135,Star Wars,Qui-Gon Jinn ,75096,40.49
12,sw0649,fig-004134,Star Wars,Watto,75096,28.21
13,sw0911,fig-004505,Star Wars,Ki-Adi-Mundi,75206,10.78
14,sw0909,fig-004506,Star Wars,Barriss Offee,75206,4.99
15,sw0371,fig-003889,Star Wars,Princess Leia - Celebration Outfit,9495,38.06
16,sw0363,fig-003891,Star Wars,Nute Gunray,9494,16.17
17,sw0309,fig-003786,Star Wars,Shaak Ti,7931,50.47
18,sw0488,fig-004003,Star Wars,Anakin Skywalker,75021,37.83
19,sw0615,fig-004112,Star Wars,Asajj Ventress,75087,23.94
20,sw0639,fig-004102,Star Wars,Captain Tarpals,75091,12.3
21,sw0745,fig-004227,Star Wars,Luminara Unduli,75151,78.0
22,sw0650,fig-004137,Star Wars,Dath Maul - Printed Legs,75096,18.95
23,sw0844,fig-004288,Star Wars,"Boba Fett, Young",75191,20.08
24,sw0422,fig-003913 ,Star Wars,Kit Fisto,9526,34.55
25,sw0488,fig-004003,Star Wars,Anakin Skywalker - Episode II,75087,37.83
26,sw0381,fig-003900,Star Wars,Geonosian,9491,12.0
27,sw0230,fig-003706,Star Wars,Super Battle Droid,8018,8.04
28,sw0418,fig-003923,Star Wars,Chancellor Palpatine,9526,39.64
29,sw0973,fig-004347,Star Wars,Lando Calrissian,75222,165.57
30,sw0906,fig-004305,Star Wars,Yoda,75330,12.9
31,sw0878,fig-002549,Star Wars,Princess Leia - Hoth Outfit,75192,17.55
32,sw0513,fig-003941,Star Wars,Wicket (Ewok),75238,8.96
33,sw1007,fig-004410,Star Wars,Scout Trooper,75238,14.08
34,sw0420,fig-003919,Star Wars,Saesee Tiin,9526,35.99
35,sw0421,fig-003922,Star Wars,Agen Kolar,9526,119.89
36,sw1199,fig-012564,Star Wars,Luke Skywalker - Dagobah Training,75330,16.04
37,sw0995,fig-003804,Star Wars,Rebel Fleet Trooper,75244,8.07
38,sw1036,fig-004422,Star Wars,Princess Leia - White Dress,75301,8.08
39,sw1140,fig-010860,Star Wars,General Jan Dodonna,75301,6.93
40,sw1139,fig-010861,Star Wars,Luke Skywalker - X Wing Pilot,75301,4.46
41,sw0976,fig-004352,Star Wars,Han Solo Duel Moulded Legs,75222,70.19
42,sw0247,fig-003716,Star Wars,Admiral Ackbar,7754,9.56
43,,,Star Wars,R4-P17,75333,0.0
44,sw0745,fig-004227,Star Wars,Luminara Unduli,75151,78.0
45,,,Star Wars,Obi-Wan Kenobi,75333,0.0
46,,,Star Wars,Taun We,75333,0.0
47,sw0538,fig-004036,Star Wars,Plo Koon,75045,33.2
48,sw0405,fig-003932,Star Wars,Gamorrean Guard,9516,24.0
