Set Number,Acquisition,Type,Theme,Theme_ID,Set Name,Cost,Value (New),State
71027-5,Cash,CMF,Series 20,692,Pirate Girl,4.99,4.99,Opened
71028-2,Cash,CMF,Harry Potter Series 2,691,Albus Dumbledore,2.99,4.99,Opened
71028-3,Cash,CMF,Harry Potter Series 2,691,Hermione Granger,4.99,4.99,Opened
71028-4,Cash,CMF,Harry Potter Series 2,691,Ron Weasley,4.99,4.99,Opened
71028-7,Cash,CMF,Harry Potter Series 2,691,Lily Potter,4.99,4.99,Opened
71028-9,Cash,CMF,Harry Potter Series 2,691,Ginny Weasley,4.99,4.99,Opened
71028-12,Cash,CMF,Harry Potter Series 2,691,Bellatrix Lestrange,2.99,4.99,Opened
71028-14,Cash,CMF,Harry Potter Series 2,691,Moaning Myrtle,4.99,4.99,Opened
71028-15,Cash,CMF,Harry Potter Series 2,691,Professor Pomona Sprout,2.99,4.99,Opened
71029-3,Cash,CMF,Series 21,712,Shipwreck Survivor,4.99,4.99,Opened
71030-1,Cash,CMF,Looney Tunes,714,Lola Bunny,4.99,4.99,Opened
71030-2,Cash,CMF,Looney Tunes,714,Bugs Bunny,4.99,4.99,Opened
71030-3,Cash,CMF,Looney Tunes,714,Wile E. Coyote,4.99,4.99,Opened
71030-4,Cash,CMF,Looney Tunes,714,Road Runner,4.99,4.99,Opened
71030-5,Cash,CMF,Looney Tunes,714,Tweety Bird,4.99,4.99,Opened
71030-6,Cash,CMF,Looney Tunes,714,Sylvester the Cat,4.99,4.99,Opened
71030-7,Cash,CMF,Looney Tunes,714,Daffy Duck,4.99,4.99,Opened
71030-8,Cash,CMF,Looney Tunes,714,Speedy Gonzales,4.99,4.99,Opened
71030-9,Cash,CMF,Looney Tunes,714,Tasmanian Devil,4.99,4.99,Opened
71030-11,Cash,CMF,Looney Tunes,714,Petunia Pig,4.99,4.99,Opened
71030-12,Cash,CMF,Looney Tunes,714,Porky Pig,4.99,4.99,Sealed
71030-10,Cash,CMF,Looney Tunes,714,Marvin the Martian,4.99,4.99,Opened
21322-1,Reward,Set,Ideas,576,Pirates of Barracuda Bay,199.99,199.99,Sealed
30343-1,Cash,Polybag,Speed Champions,601,McLaren Elva,4.99,3.99,Opened
30566-1,GWP,Polybag,City,208,Fire Helicopter,0,2.99,Sealed
31088-1,Present,Polybag,Creator,672,Deep Sea Creatures,14.99,14.99,Sealed
30340-1,GWP,Polybag,The LEGO Movie 2,670,Emmet's 'Piece' Offering,0,8.99,Opened
40341-1,Cash,Polybag,Xtra,646,Sea Accessories,3.5,5.11,Sealed
31109-1,Present,Set,Creator,214,Pirate Ship,99.99,91.96,Opened
40449-1,GWP,Set,Seasonal,206,Easter Bunny's Carrot House,0,12.02,Sealed
40486-1,GWP,Set,Creator Expert,673,Mini Adidas Originals Superstar,0,20.08,Sealed
75258-1,Cash,Set,Star Wars,18,Anakin's Podracer - 20th Anniversary Edition,29.99,29.99,Opened
75269-1,Cash,Set,Star Wars,18,Duel on Mustafar,16,19.99,Opened
75270-1,Cash,Set,Star Wars,18,Obi-Wan's Hut,23.99,29.99,Opened
75295-1,Cash,Set,Star Wars,18,Millenium Falcon Microfighter,9.99,9.99,Opened
75300-1,Cash,Set,Star Wars,18,Imperial TIE Fighter,31.99,39.99,Sealed
75947-1,Present,Set,Harry Potter,710,Hagrid's Hut Buckbeak's Rescue,48,58.35,Opened
76895-1,Cash,Set,Speed Champions,601,Ferrari F8 Tributo,16,24.91,Opened
75890-1,Business,Set,Speed Champions,601,Ferrari F40 Competizione,11.99,16.09,Sealed
75291-1,Business,Set,Star Wars,18,Death Star Final Duel,65,99.99,Sealed
75954-1,Business,Set,Harry Potter,710,Hogwarts Great Hall,94.05,116.75,Sealed
75953-1,Business,Set,Harry Potter,710,Hogwarts Whomping Willow,69.99,69.99,Sealed
75948-1,Business,Set,Harry Potter,710,Hogwarts Clock Tower,89.99,89.99,Sealed
75969-1,Business,Set,Harry Potter,710,Hogwarts Astronomy Tower,99.99,99.99,Sealed
75298-1,Present,Set,Star Wars,18,AT-AT™ vs. Tauntaun™ Microfighters,19.99,19.99,Sealed
75955-1,Cash,Set,Harry Potter,710,Hogwarts Express,79.64,79.99,Sealed
75889-1,Present,Set,Speed Champions,601,Ferrari Ultimate Garage,110.51,135.17,Sealed
75290-1,Present,Set,Star Wars,18,Master Builder Series Mos Eisley Cantina,349.99,349.99,Sealed
92177-1,Cash,Set,Ideas,576,Ship in a Bottle,69.99,69.99,Sealed
75968-1,Business,Set,Harry Potter,710,4 Privet Drive,69.99,56.06,Sealed
75310-1,Cash,set,Star Wars,18,Duel on Mandalore,16.23,,Sealed
75280-1,Cash,set,Star Wars,18,501st Legion Clone Troopers,23.99,,Sealed
75199-1,Cash,set,Star Wars,18,General Grievous' Combat Ship,46.58,,Sealed
