Set Number,Acquisition,Type,Theme,Set Name,Cost,Value (New),State
21322,Reward,Set,Ideas,Pirates of Barracuda Bay,199.99,$290.01 ,Sealed
30343,Cash,Polybag,Speed Champions,McLaren Elva,4.99,$3.99 ,Sealed
30566,GWP,Polybag,City,Fire Helicopter,0,$3.02 ,Sealed
31088,Present,Polybag,Creator,Deep Sea Creatures,14.99,$14.99 ,Sealed
30340,GWP,Polybag,The LEGO Movie 2,Emmet's 'Piece' Offering,0,$8.99 ,Opened
40341,Cash,Polybag,Xtra,Sea Accessories,3.5,$5.11 ,Sealed
31109,Present,Set,Creator,Pirate Ship,99.99,$92.74 ,Opened
40449,GWP,Set,Seasonal,Easter Bunny's Carrot House,0,$12.80 ,Sealed
40486,GWP,Set,Creator Expert,Mini Adidas Originals Superstar,0,$20.08 ,Sealed
75258,Cash,Set,Star Wars,Anakin's Podracer - 20th Anniversary Edition,29.99,$29.99 ,Opened
75269,Cash,Set,Star Wars,Duel on Mustafar,16,$19.99 ,Opened
75270,Cash,Set,Star Wars,Obi-Wan's Hut,23.99,$29.99 ,Opened
75295,Cash,Set,Star Wars,Millenium Falcon Microfighter,9.99,$9.99 ,Opened
75300,Cash,Set,Star Wars,Imperial TIE Fighter,31.99,$39.99 ,Sealed
75947,Present,Set,Harry Potter,Hagrid's Hut Buckbeak's Rescue,48,$59.96 ,Opened
76895,Cash,Set,Speed Champions,Ferrari F8 Tributo,16,$25.21 ,Opened
75890,Business,Set,Speed Champions,Ferrari F40 Competizione,11.99,$16.99 ,Sealed
75291,Business,Set,Star Wars,Death Star Final Duel,65,$99.99 ,Sealed
75954,Business,Set,Harry Potter,Hogwarts Great Hall,94.05,$114.79 ,Sealed
75953,Business,Set,Harry Potter,Hogwarts Whomping Willow,69.99,$69.99 ,Sealed
75948,Business,Set,Harry Potter,Hogwarts Clock Tower,89.99,$89.99 ,Sealed
75969,Business,Set,Harry Potter,Hogwarts Astronomy Tower,99.99,$99.99 ,Sealed
75298,Present,Set,Star Wars,AT-AT™ vs. Tauntaun™ Microfighters,19.99,$19.99 ,Sealed
75955,Cash,Set,Harry Potter,Hogwarts Express,79.64,$79.99 ,Sealed
75889,Present,Set,Speed Champions,Ferrari Ultimate Garage,110.51,$130.51 ,Sealed
75290,Present,Set,Star Wars,Master Builder Series Mos Eisley Cantina,349.99,$349.99 ,Sealed
71027-5,Cash,CMF,Series 20,Pirate Girl,4.99,$4.99 ,Opened
71028-2,Cash,CMF,Harry Potter Series 2,Albus Dumbledore,2.99,$4.99 ,Opened
71028-3,Cash,CMF,Harry Potter Series 2,Hermione Granger,4.99,$4.99 ,Opened
71028-4,Cash,CMF,Harry Potter Series 2,Ron Weasley,4.99,$4.99 ,Opened
71028-7,Cash,CMF,Harry Potter Series 2,Lily Potter,4.99,$4.99 ,Opened
71028-9,Cash,CMF,Harry Potter Series 2,Ginny Weasley,4.99,$4.99 ,Opened
71028-12,Cash,CMF,Harry Potter Series 2,Bellatrix Lestrange,2.99,$4.99 ,Opened
71028-14,Cash,CMF,Harry Potter Series 2,Moaning Myrtle,4.99,$4.99 ,Opened
71028-15,Cash,CMF,Harry Potter Series 2,Professor Pomona Sprout,2.99,$4.99 ,Opened
71029-3,Cash,CMF,Series 21,Shipwreck Survivor,4.99,$4.99 ,Opened
71030-1,Cash,CMF,Looney Tunes,Lola Bunny,4.99,$4.99 ,Opened
71030-2,Cash,CMF,Looney Tunes,Bugs Bunny,4.99,$4.99 ,Opened
71030-3,Cash,CMF,Looney Tunes,Wile E. Coyote,4.99,$4.99 ,Opened
71030-4,Cash,CMF,Looney Tunes,Road Runner,4.99,$4.99 ,Opened
71030-5,Cash,CMF,Looney Tunes,Tweety Bird,4.99,$4.99 ,Opened
71030-6,Cash,CMF,Looney Tunes,Sylvester the Cat,4.99,$4.99 ,Opened
71030-7,Cash,CMF,Looney Tunes,Daffy Duck,4.99,$4.99 ,Opened
71030-8,Cash,CMF,Looney Tunes,Speedy Gonzales,4.99,$4.99 ,Opened
71030-9,Cash,CMF,Looney Tunes,Tasmanian Devil,4.99,$4.99 ,Opened
71030-10,Cash,CMF,Looney Tunes,Marvin the Martian,4.99,$4.99 ,Opened
71030-11,Cash,CMF,Looney Tunes,Petunia Pig,4.99,$4.99 ,Opened
71030-12,Cash,CMF,Looney Tunes,Porky Pig,4.99,$4.99 ,Sealed
92177,Cash,Set,Ideas,Ship in a Bottle,69.99,$69.99 ,Sealed
75968,Business,Set,Harry Potter,4 Privet Drive,69.99,$58.26 ,Sealed
