Minifig Number,Rebrickable ID,Theme,Name
sw0833,fig-004267,Star Wars,Aayla Secura
sw0977,fig-004345,Star Wars,Boba Fett
sw0472,fig-004023,Star Wars,Count Dooku
sw0407,fig-003934,Star Wars,Boushh
sw0003,fig-003516,Star Wars,Darth Maul (Waist Sash)
sw0686,fig-002053,Star Wars,Darth Maul (Waist Sash)
sw0515,fig-004027,Star Wars,General Grievous
sw0845,fig-004289,Star Wars,Jango Fett
sw0301,fig-003793,Star Wars,Jar Jar Binks
sw0889,fig-004162,Star Wars,Mace Windu (Dark Tan Legs)
sw0406,fig-003930,Star Wars,Oola
sw0485,fig-004010,Star Wars,Princess Leia - Slave Outfit
sw0387,fig-003877,Star Wars,Queen Amidala
sw0326,fig-003769,Star Wars,Sebulba - Movable Arms
sw0402,fig-003929,Star Wars,Big Figure - Jabba The Hutt - Tan Face
sw1096,fig-010294,Star Wars,Ahsoka Tano (Adult) - Dark Blue Jumpsuit
sw0410,fig-003879,Star Wars,Qui-Gon Jinn with Breathing Apparatus
sw0649,fig-004134,Star Wars,Watto
sw0911,fig-004505,Star Wars,"
Ki-Adi-Mundi"
sw0909,fig-004506,Star Wars,Barriss Offee
sw0371,fig-003889,Star Wars,Princess Leia - Celebration Outfit
sw0363,fig-003891,Star Wars,Nute Gunray
sw0309,fig-003786,Star Wars,Shaak Ti
sw0488,fig-004003,Star Wars,Anakin Skywalker
sw0615,fig-004112,Star Wars,Asajj Ventress
sw0639,fig-004102,Star Wars,Captain Tarpals
sw0745,fig-004227,Star Wars,Luminara Unduli
sw0650,fig-004137,Star Wars,Dath Maul - Printed Legs
sw0844,fig-004288,Star Wars,"Boba Fett, Young"
