Minifig Number,Set Number,Rebrickable ID,Theme,Name
sw0490,75021-1,fig-004002,Star Wars,Padme Amidala - Geonosis Arena
poc011,,fig-001274,Pirates of the Caribbean,Captain Jack Sparrow with Tricorne
poc001,,fig-002035,Pirates of the Caribbean,Captain Jack Sparrow
,21322-1,fig-005505,LEGO Ideas and CUUSOO,Captain Redbeard
,21322-1,fig-005507,LEGO Ideas and CUUSOO,Jack 'Dark Shark' Doubloons
,21322-1,fig-005506,LEGO Ideas and CUUSOO,Lady Anchor
,21322-1,fig-005508,LEGO Ideas and CUUSOO,Port
,21322-1,fig-005509,LEGO Ideas and CUUSOO,Quartermaster Riggings
,21322-1,fig-005510,LEGO Ideas and CUUSOO,Robin Loot
,21322-1,fig-005511,LEGO Ideas and CUUSOO,"Skeleton - Missing 1 Leg, Imperial Guard Hat"
,21322-1,fig-002892,LEGO Ideas and CUUSOO,Skeleton with Vertical Hand Clips (Standard)
,21322-1,fig-005512,LEGO Ideas and CUUSOO,Starboard
,21322-1,fig-005513,LEGO Ideas and CUUSOO,Tattooga
,30340-1,fig-001937,The LEGO Movie II,"Emmet, Worn Outfit"
,30566-1,fig-010870,City,"Pilot - Orange Torso, Orange Legs, White Helmet"
,31109-1,fig-010121,Creator 3-in-1,"Pirate Captain, Blue Jacket, Peg Leg, Bicorne Hat with White Plume"
,31109-1,fig-010122,Creator 3-in-1,"Pirate, Open Blue Vest over Red and White Striped Shirt, Black Tricorne Hat"
,31109-1,fig-010123,Creator 3-in-1,"Pirate, Red and White Striped Shirt, Red Bandanna"
,31109-1,fig-002892,Creator 3-in-1,Skeleton with Vertical Hand Clips (Standard)
,40486-1,fig-011562,Promotional,"Brick Suit Boy - Blue 2 x 3 Tile, White Cap"
col362,71027-5,fig-008807,Series 20 Minifigures,Pirate Girl (CMF)
colhp34,71028-12,fig-010571,Harry Potter and Fantastic Beasts Series 2,Bellatrix Lestrange - Prison Dress
colhp36,71028-14,fig-010589,Harry Potter and Fantastic Beasts Series 2,Moaning Myrtle
colhp37,71028-15,fig-010592,Harry Potter and Fantastic Beasts Series 2,Professor Pomona Sprout - Medium Nougat Robe
colhp24,71028-2,fig-010568,Harry Potter and Fantastic Beasts Series 2,"Albus Dumbledore, Dark Red Robe with Skirt"
colhp25,71028-3,fig-010583,Harry Potter and Fantastic Beasts Series 2,"Hermione Granger, Tan Striped Sweater, Dark Blue Legs"
colhp26,71028-4,fig-010593,Harry Potter and Fantastic Beasts Series 2,"Ron Weasley - Reddish Brown Sweater, Light Bluish Grey Legs"
colhp29,71028-7,fig-010586,Harry Potter and Fantastic Beasts Series 2,Lily Potter
colhp31,71028-9,fig-010579,Harry Potter and Fantastic Beasts Series 2,Ginny Weasley
col376,71029-3,fig-011014,Series 21 Minifigures,Shipwreck Survivor
collt01,71030-1,fig-011270,Looney Tunes,Lola Bunny
collt10,71030-10,fig-011277,Looney Tunes,Marvin the Martian
collt11,71030-11,fig-011276,Looney Tunes,Petunia Pig
collt12,71030-12,fig-011275,Looney Tunes,Porky Pig
collt02,71030-2,fig-011266,Looney Tunes,Bugs Bunny
collt03,71030-3,fig-011273,Looney Tunes,Wile E Coyote
collt04,71030-4,fig-011274,Looney Tunes,Road Runner
collt05,71030-5,fig-011263,Looney Tunes,Tweety
collt06,71030-6,fig-011268,Looney Tunes,Sylvester
collt07,71030-7,fig-011269,Looney Tunes,Daffy Duck
collt08,71030-8,fig-011271,Looney Tunes,Speedy Gonzales
collt09,71030-9,fig-011272,Looney Tunes,Taz the Tasmanian Devil
,75258-1,fig-001913,Star Wars,"Anakin Skywalker, Child, Reddish Brown Helmet"
,75258-1,fig-004481,Star Wars,"Luke Skywalker, Orange Rebel Pilot Outfit, Yellow Skin, Dark Bluish Gray Hips (3626c Head)"
,75258-1,fig-004480,Star Wars,"Padme Amidala / Naberrie, Dark Tan Tunic, Medium Legs"
,75269-1,fig-004491,Star Wars,"Anakin Skywalker, Transformation, Yellow Eyes, Black Legs"
,75269-1,fig-004492,Star Wars,"Obi-Wan Kenobi, Tan Legs, Short Combed Sideways Hair"
,75270-1,fig-001939,Star Wars,"Luke Skywalker, White Robe, White Legs, No Cheek Lines"
,75270-1,fig-003502,Star Wars,"Obi-Wan Kenobi, Old, Tan Robes, Hair, White Pupils, White and Gray Beard"
,75270-1,fig-003503,Star Wars,"R2-D2, Flat Silver Dome, Dark Blue Print with Dark Pink Dots"
,75270-1,fig-003501,Star Wars,"Tusken Raider, Head Spikes, Shoulder Belt"
,75290-1,fig-004065,Star Wars,Bith Musician
,75290-1,fig-004065,Star Wars,Bith Musician
,75290-1,fig-004065,Star Wars,Bith Musician
,75290-1,fig-002514,Star Wars,"C-3PO, Pearl Gold, Colorful Wires, Printed Legs"
,75290-1,fig-001714,Star Wars,"Chewbacca, Dark Brown - Long Lines on Legs on Inside"
,75290-1,fig-010673,Star Wars,Dr Cornelius Evazan
,75290-1,fig-010675,Star Wars,Garindan
,75290-1,fig-004311,Star Wars,"Greedo, Sand Green Skin, Knee Strap"
,75290-1,fig-002527,Star Wars,"Han Solo, Black Vest, Dark Blue Legs, Ruffled Hair"
,75290-1,fig-010678,Star Wars,Hrchek Kal Fas
,75290-1,fig-003499,Star Wars,"Jawa, Dark Brown Shoulder Strap"
,75290-1,fig-010677,Star Wars,Kabe
,75290-1,fig-010674,Star Wars,Kardue'sai'Malloc
,75290-1,fig-001939,Star Wars,"Luke Skywalker, White Robe, White Legs, No Cheek Lines"
,75290-1,fig-010676,Star Wars,Momaw Nadon
,75290-1,fig-002685,Star Wars,"Obi-Wan Kenobi, Old, Tan Robes, Dark Brown Hood and Cape"
,75290-1,fig-010681,Star Wars,Ponda Baba
,75290-1,fig-003503,Star Wars,"R2-D2, Flat Silver Dome, Dark Blue Print with Dark Pink Dots"
,75290-1,fig-010680,Star Wars,"Sandtrooper Squad Leader / Captain, Orange Pauldron, Neck Bracket, Dual Molded Helmet, Closed Mouth"
,75290-1,fig-010684,Star Wars,"Sandtrooper, Black Pauldron, Neck Bracket with Double Stud, Closed Mouth"
,75290-1,fig-004312,Star Wars,Wuher
,75291-1,fig-010301,Star Wars,"Darth Vader, White Skin, 19888 Cape, Stripes on Legs"
